ï»¿Restaurant ID,Restaurant Name,Country Code,City,Address,Locality,Locality Verbose,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Rating color,Rating text,Votes
17375072,Atlanta Highway Seafood Market,216,Gainesville,"227 Atlanta Highway Suite 900, Gainesville, GA 30501",Gainesville,"Gainesville, Gainesville",-83.838457,34.285102,"Sandwich, Seafood, Cajun",25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,681
17500759,Ingleside Village Pizza,216,Macon,"2395 Ingleside Ave, Macon, GA 31204",Macon,"Macon, Macon",-83.657061,32.853896,"Pizza, Sandwich",10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,478
17259395,The Cafe,216,Des Moines,"2616 Northridge Pkwy, Ames, IA 50010",Ames,"Ames, Des Moines",-93.643094,42.048779,"American, Coffee and Tea",25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,570
6127163,Bao,215,London,"53 Lexington Street, Soho, London W1F 9AS","Lexington Street, Soho","Lexington Street, Soho, London",-0.136576,51.513225,"Taiwanese, Street Food",20,Pounds(ï¿½ï¿½),No,No,No,No,2,4.9,Dark Green,Excellent,161
17294607,Rae's Coastal Cafe,216,Augusta,"3208 W Wimbledon Dr, Augusta, GA 30909",Augusta,"Augusta, Augusta",-82.0698,33.4791,"American, Caribbean, Seafood",40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,548
17316744,Shorts Burger and Shine,216,Cedar Rapids/Iowa City,"18 S Clinton St, Iowa City, IA 52240",Iowa City,"Iowa City, Cedar Rapids/Iowa City",-91.534424,41.660982,Burger,10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,820
6114829,Duck & Waffle,215,London,"Heron Tower, 110 Bishopsgate, City of London, London EC2N 4AY","Bishopsgate, City Of London","Bishopsgate, City Of London, London",-0.080963,51.516284,British,55,Pounds(ï¿½ï¿½),No,No,No,No,3,4.9,Dark Green,Excellent,706
17061296,Pom Pom's Teahouse and Sandwicheria,216,Orlando,"67 North Bumby Avenue, Orlando, FL 32803",The Milk District,"The Milk District, Orlando",-81.351467,28.543571,"American, Sandwich, Tea",25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,1457
2004,Indian Accent - The Manor,1,New Delhi,"The Manor, 77, Friends Colony, New Delhi",Friends Colony,"Friends Colony, New Delhi",77.257106,28.570142,Modern Indian,4000,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,1934
17806994,Mirchi And Mime,1,Mumbai,"Transocean House, Lake Boulevard, Hiranandani Business Park, Powai, Mumbai",Powai,"Powai, Mumbai",72.90738534,19.12008268,"North Indian, South Indian, Mughlai",1500,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,3244
3300958,Barbeque Nation,1,Nagpur,"2nd Floor, Eternity Mall, Amravati Road, Sitabuldi, Nagpur",Sitabuldi,"Sitabuldi, Nagpur",79.080247,21.143272,"North Indian, European, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,226
310143,Naturals Ice Cream,1,New Delhi,"L-8, Outer Circle, Connaught Place, New Delhi",Connaught Place,"Connaught Place, New Delhi",77.2221482,28.6343484,Ice Cream,150,Indian Rupees(Rs.),No,Yes,No,No,1,4.9,Dark Green,Excellent,2620
2800856,Barbeque Nation,1,Vizag,"1st Floor, ATR Towers, Harbour Park Road,  Panduranga Puram, Near Harbour Park, Kirlampudi Layout, Vizag",Kirlampudi Layout,"Kirlampudi Layout, Vizag",0.0,0.0,"North Indian, Chinese, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,345
17580142,McGuire's Irish Pub & Brewery,216,Pensacola,"600 E Gregory Street, Pensacola, FL 32502",Pensacola,"Pensacola, Pensacola",-87.2027,30.4179,"Burger, Bar Food, Steak",40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,2238
7417455,Talaga Sampireun,94,Jakarta,"Taman Impian Jaya Ancol, Jl. Lapangan Golf 7, Ancol, Jakarta","Taman Impian Jaya Ancol, Ancol","Taman Impian Jaya Ancol, Ancol, Jakarta",106.8335532,-6.12685982,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1640
7420899,Sushi Masa,94,Jakarta,"Jl. Tuna Raya No. 5, Penjaringan",Penjaringan,"Penjaringan, Jakarta",106.800144,-6.101298,"Sushi, Japanese",500000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,605
7422633,Talaga Sampireun,94,Jakarta,Jl. Lingkar Luar Barat,Cengkareng,"Cengkareng, Jakarta",106.7285083,-6.168466667,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,1662
7417450,Talaga Sampireun,94,Tangerang,"Jl. Boulevard Bintaro Jaya Blok B7/N1, Bintaro Sektor 7, Pondok Aren, Tangerang",Pondok Aren,"Pondok Aren, Tangerang",106.7261194,-6.269913889,"Sunda, Indonesian",200000,Indonesian Rupiah(IDR),No,No,No,No,3,4.9,Dark Green,Excellent,2212
7001086,Milse,148,Auckland,"The Pavilions, 27 Tyler Street, Britomart, Auckland CBD, Auckland 1010",Britomart,"Britomart, Auckland",174.7686903,-36.84418841,Desserts,50,NewZealand($),No,No,No,No,3,4.9,Dark Green,Excellent,754
18217279,Miann,148,Auckland,"57 Fort Street, Auckland Auckland CBD",Fort Street,"Fort Street, Auckland",174.768986,-36.84604966,Desserts,25,NewZealand($),No,No,No,No,1,4.9,Dark Green,Excellent,281
17334212,Oakwood Cafe,216,Dalton,"201 West Cuyler Street, Dalton, GA 30720",Dalton,"Dalton, Dalton",-84.969393,34.769686,"BBQ, Breakfast, Southern",10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,249
17335156,Tantra Asian Bistro,216,Davenport,"589 East 53rd St, Davenport, IA 52807",Davenport,"Davenport, Davenport",-90.565837,41.574459,Asian,25,Dollar($),No,No,No,No,2,4.9,Dark Green,Excellent,474
18345728,Masala Library,1,New Delhi,"21 A, Janpath, New Delhi",Janpath,"Janpath, New Delhi",77.2186451,28.6182446,Modern Indian,5000,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,408
17061205,Yellow Dog Eats,216,Orlando,"1236 Hempel Avenue,Gotha, FL 34786",Windermere,"Windermere, Orlando",-81.522987,28.527592,"American, BBQ, Sandwich",35,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,1252
18269368,AB's Absolute Barbecues,214,Dubai,"Mezzanaine Floor, Centurion Star Tower, Deira City Centre Area, Dubai",Deira City Centre Area,"Deira City Centre Area, Dubai",55.32874,25.254105,"Continental, Indian",160,Emirati Diram(AED),Yes,No,No,No,3,4.9,Dark Green,Excellent,641
17095236,Mr. Dunderbak's Biergarten and Marketplatz,216,Tampa Bay,"14929 Bruce B Downs Blvd, Tampa, FL 33612",New Tampa,"New Tampa, Tampa Bay",-82.41294,28.082909,"European, German",40,Dollar($),No,No,No,No,3,4.9,Dark Green,Excellent,1413
18384115,Caterspoint,1,Gurgaon,"S-27/11, DLF Phase 3, Gurgaon",DLF Phase 3,"DLF Phase 3, Gurgaon",77.1039737,28.4872636,"Mexican, American, Healthy Food",500,Indian Rupees(Rs.),No,Yes,No,No,2,4.9,Dark Green,Excellent,223
18384227,AB's - Absolute Barbecues,1,Chennai,"Velachery Tharamani Link Road, Opposite TCS, Velachery, Chennai",Velachery,"Velachery, Chennai",80.231598,12.981615,"North Indian, European, Mediterranean",1600,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,859
2600109,Sagar Gaire Fast Food,1,Bhopal,"10, Number Market, Arera Colony, Bhopal",Arera Colony,"Arera Colony, Bhopal",77.435361,23.214294,Fast Food,250,Indian Rupees(Rs.),No,No,No,No,1,4.9,Dark Green,Excellent,427
18254160,Carnival By Tresind,214,Dubai,"Podium Level, Burj Daman, DIFC, Dubai",DIFC,"DIFC, Dubai",55.281966,25.211183,Indian,500,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,322
7300515,Garota de Ipanema,30,Rio de Janeiro,"Rua Vinicius de Moraes, 49, Ipanema, Rio de Janeiro",Ipanema,"Ipanema, Rio de Janeiro",-43.203,-22.98533333,"Brazilian, Bar Food",120,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,49
75989,Restaurant Mosaic @ The Orient,189,Pretoria,"The Orient Boutique Hotel, Crocodile River Valley, Elandsfontein, Near West Park, Pretoria",West Park,"West Park, Pretoria",27.999097,-25.761238,French,3210,Rand(R),No,No,No,No,4,4.9,Dark Green,Excellent,85
6600427,Coco Bambu,30,Brasï¿½_lia,"SCES, Trecho 2, Conjunto 13/36, Setor de Clubes Esportivos Sul, Brasï¿½_lia",Setor De Clubes Esportivos Sul,"Setor De Clubes Esportivos Sul, Brasï¿½_lia",-47.8685,-15.819,International,230,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,30
7300955,Braseiro da Gï¿½ï¿½vea,30,Rio de Janeiro,"Praï¿½_a Santos Dumont, 116, Gï¿½ï¿½vea, Rio de Janeiro",Gï¿½ï¿½vea,"Gï¿½ï¿½vea, Rio de Janeiro",-43.227042,-22.973507,"Brazilian, Bar Food",100,Brazilian Real(R$),No,No,No,No,4,4.9,Dark Green,Excellent,40
6004011,Gaga Manjero,208,Ankara,"Gazi Osman Paï¿½ï¿½a Mahallesi, Filistin Caddesi, No 21, ï¿½ankaya, Ankara",Gazi Osman Paï¿½ï¿½a,"Gazi Osman Paï¿½ï¿½a, Ankara",32.8698,39.89823889,World Cuisine,80,Turkish Lira(TL),No,No,No,No,3,4.9,Dark Green,Excellent,95
5800176,Ministry of Crab,191,Colombo,"Old Colombo Dutch Hospital, Fort, Colombo 01","Old Dutch Hospital, Fort","Old Dutch Hospital, Fort, Colombo",79.84423889,6.932813889,Seafood,4000,Sri Lankan Rupee(LKR),No,No,No,No,4,4.9,Dark Green,Excellent,203
3001321,CakeBee,1,Coimbatore,"6/1, SRP Nagar, Saibaba Colony, Coimbatore",Saibaba Colony,"Saibaba Colony, Coimbatore",76.94465239,11.02611735,"Bakery, Desserts",350,Indian Rupees(Rs.),No,Yes,No,No,2,4.9,Dark Green,Excellent,200
18416632,The Great Indian Pub,1,Dehradun,"138/345, Rajpur Road, Jakhan, Dehradun",Jakhan,"Jakhan, Dehradun",78.06802238,30.36128079,North Indian,1500,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,50
3400346,Sheroes Hangout,1,Agra,"Opposite The Gateway Hotel, Fatehabad Road, Tajganj, Agra",Tajganj,"Tajganj, Agra",78.040165,27.16185,"Cafe, North Indian, Chinese",0,Indian Rupees(Rs.),No,No,No,No,1,4.9,Dark Green,Excellent,77
208850,Tresind - Nassima Royal Hotel,214,Dubai,"Level 2, Nassima Royal Hotel, Sheikh Zayad Road, Trade Centre Area, Dubai","Nassima Royal Hotel, Trade Centre Area","Nassima Royal Hotel, Trade Centre Area, Dubai",55.28256778,25.22347744,Indian,500,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,1352
18209498,Zolocrust - Hotel Clarks Amer,1,Jaipur,"Hotel Clarks Amer, Jawaharlal Nehru Marg, Near Malviya Nagar, Malviya Nagar, Jaipur","Hotel Clarks Amer, Malviya Nagar","Hotel Clarks Amer, Malviya Nagar, Jaipur",75.8023,26.84615556,"Italian, Bakery, Continental",2000,Indian Rupees(Rs.),No,Yes,No,No,4,4.9,Dark Green,Excellent,322
5703500,Punjab Grill,214,Abu Dhabi,"Venetian Village, Ritz Carlton Abu Dhabi, Grand Canal, Al Maqtaa, Abu Dhabi","Venetian Village, Al Maqtaa","Venetian Village, Al Maqtaa, Abu Dhabi",54.4872137,24.4106148,"Indian, North Indian",330,Emirati Diram(AED),Yes,No,No,No,4,4.9,Dark Green,Excellent,216
20842,Barbeque Nation,1,Kolkata,"K1, RDB Boulevard, Block EP & GP, Sector 5, Salt Lake","Sector 5, Salt Lake","Sector 5, Salt Lake, Kolkata",88.43345214,22.56935843,"North Indian, Chinese",1600,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,5966
2100702,Barbeque Nation,1,Guwahati,"2nd Floor, Adityam Building, Ulubari, Guwahati",Ulubari,"Ulubari, Guwahati",91.759857,26.172119,North Indian,1500,Indian Rupees(Rs.),No,No,No,No,4,4.9,Dark Green,Excellent,774
18452864,AB's - Absolute Barbecues,1,Hyderabad,"No. 8-2-618/10-11,2nd Floor, Krishe Amethyst, Road No.1, Banjara Hills, Hyderabad",Banjara Hills,"Banjara Hills, Hyderabad",78.44965395,17.41233045,"European, Mediterranean, North Indian",1500,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,200
94286,AB's - Absolute Barbecues,1,Hyderabad,"Plot 483, 4th Floor, Pemmasani Complex, Bajaj Electronics Building, Near Madhapur Police Station, Road 36, Jubilee Hills, Hyderabad",Jubilee Hills,"Jubilee Hills, Hyderabad",78.3978647,17.4382631,"European, Mediterranean, North Indian",1500,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,5434
17095098,Mazzaro's Italian Market,216,Tampa Bay,"2909 22nd Ave N, St Petersburg, FL 33713",Kenwood,"Kenwood, Tampa Bay",-82.673621,27.792047,"Italian, Deli",10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,1424
25570,Barbeque Nation,1,Kolkata,"24, 1st Floor, Park Center Building, Park Street Area, Kolkata",Park Street Area,"Park Street Area, Kolkata",88.35412715,22.55108374,"North Indian, Chinese",1600,Indian Rupees(Rs.),No,No,No,No,3,4.9,Dark Green,Excellent,1753
17145495,Marukame Udon,216,Rest of Hawaii,"2310 Kuhio Avenue, Honolulu, HI 96815",Waikiki,"Waikiki, Rest of Hawaii",-157.825979,21.279476,Japanese,10,Dollar($),No,No,No,No,1,4.9,Dark Green,Excellent,602
17142792,Mama's Fish House,216,Rest of Hawaii,"799 Poho Pl, Paia, HI 96779",Paia,"Paia, Rest of Hawaii",-156.366445,20.929622,"Hawaiian, Seafood",70,Dollar($),No,No,No,No,4,4.9,Dark Green,Excellent,1343
800468,Grandson of Tunday Kababi,1,Lucknow,"Naaz Cinema Road, Aminabad, Lucknow",Aminabad,"Aminabad, Lucknow",80.92743056,26.84850556,"Mughlai, Lucknowi",300,Indian Rupees(Rs.),No,No,No,No,1,4.9,Dark Green,Excellent,1057
13231,Le Plaisir,1,Pune,"759/125, Rajkamal, Opposite Kelkar Eye Hospital, Prabhat Road, Deccan Gymkhana, Pune",Deccan Gymkhana,"Deccan Gymkhana, Pune",73.83842938,18.51420998,"European, Desserts",1000,Indian Rupees(Rs.),No,No,No,No,3,4.8,Dark Green,Excellent,2510
18445790,Kopper Kadai,1,New Delhi,"J2/6B, 1st & 2nd Floor, B.K. Dutta Market, Rajouri Garden, New Delhi",Rajouri Garden,"Rajouri Garden, New Delhi",77.1195466,28.6476272,North Indian,1400,Indian Rupees(Rs.),No,No,No,No,3,4.8,Dark Green,Excellent,83
7000095,Depot Eatery and Oyster Bar,148,Auckland,"86 Federal Street, Auckland CBD, Auckland, 1010",Federal Street,"Federal Street, Auckland",174.762527,-36.848988,"Seafood, Kiwi",90,NewZealand($),No,No,No,No,4,4.8,Dark Green,Excellent,598
7304307,Confeitaria Colombo,30,Rio de Janeiro,"Rua Gonï¿½_alves Dias, 32, Centro, Rio de Janeiro",Centro,"Centro, Rio de Janeiro",-43.178826,-22.905293,"Desserts, Cafe",100,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,29
7300704,TT Burger,30,Rio de Janeiro,"Galeria River, Rua Francisco Otaviano, 67, Copacabana, Rio de Janeiro","Galeria River, Copacabana","Galeria River, Copacabana, Rio de Janeiro",-43.191,-22.98683333,Burger,60,Brazilian Real(R$),No,No,No,No,3,4.8,Dark Green,Excellent,19
6700475,Skye - Hotel Unique,30,Sï¿½ï¿½o Paulo,"Hotel Unique, Avenida Brigadeiro Luï¿½_s Antï¿½ï¿½nio, 4700, Jardim Paulista, Sï¿½ï¿½o Paulo","Hotel Unique, Jardim Paulista","Hotel Unique, Jardim Paulista, Sï¿½ï¿½o Paulo",-46.666851,-23.581688,"Beverages, International",300,Brazilian Real(R$),No,No,No,No,4,4.8,Dark Green,Excellent,59
18204217,Gemelli Cucina Bar,189,Sandton,"13 Posthouse Link Centre, Corner Main & Posthouse Street, Bryanston, Johannesburg Sandton, Bryanston, Sandton",Bryanston,"Bryanston, Sandton",28.02302878,-26.05198229,"Contemporary, Italian",450,Rand(R),No,No,No,No,4,4.8,Dark Green,Excellent,542
208939,AB's Absolute Barbecues,214,Dubai,"Shop G05, Sidra Tower, Near GEMS Wellington School, Exit 36, Sheikh Zayed Road, Dubai Media City, Dubai",Dubai Media City,"Dubai Media City, Dubai",55.17874617,25.10777315,"Indian, Continental",160,Emirati Diram(AED),Yes,No,No,No,3,4.8,Dark Green,Excellent,2510
5602055,Rajasthan Al Malaki,214,Sharjah,"Behind DPS Sharjah Primary School, Muwailih Commercial, Sharjah",Muwailih Commercial,"Muwailih Commercial, Sharjah",55.45195531,25.2887722,"Indian, North Indian",60,Emirati Diram(AED),No,No,No,No,3,4.8,Dark Green,Excellent,459
130275,Burger Factory,1,Goa,"Anjuna Main Road, Opposite Paradise Guest House, Anjuna, Goa",Anjuna,"Anjuna, Goa",73.74360556,15.58565833,Fast Food,1100,Indian Rupees(Rs.),No,No,No,No,4,4.8,Dark Green,Excellent,415
73088,Chili's,1,Chennai,"49 & 50 L, Express Avenue Mall, White's Road, Royapettah, Chennai","Express Avenue Mall,  Royapettah","Express Avenue Mall,  Royapettah, Chennai",80.264151,13.058616,"Mexican, American, Tex-Mex, Burger",1700,Indian Rupees(Rs.),Yes,Yes,No,No,3,4.8,Dark Green,Excellent,1262
18365987,Matchbox,1,Gurgaon,"30, Ground Floor, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0626075,28.4682268,"Continental, North Indian, Chinese",1500,Indian Rupees(Rs.),Yes,No,No,No,3,4.8,Dark Green,Excellent,245
6102866,Hakkasan,215,London,"17 Bruton Street, Mayfair, London W1J 6QB",Mayfair,Mayfair,-0.144861,51.510342,"Chinese, Dim Sum",120,Pounds(ï¿½ï¿½),Yes,No,No,No,4,4.8,Dark Green,Excellent,395
6318433,Silantro Fil-Mex,162,Quezon City,"Second Floor, UP Town Center, Katipunan Avenue, Diliman, Quezon City","UP Town Center, Diliman, Quezon City","UP Town Center, Diliman, Quezon City, Quezon City",121.075419,14.649503,"Filipino, Mexican",800,Botswana Pula(P),No,No,No,No,3,4.8,Dark Green,Excellent,294
18337894,Prankster,1,Gurgaon,"Site 8-10, Sector 29, Gurgaon",Sector 29,"Sector 29, Gurgaon",77.0633573,28.4691662,"Modern Indian, North Indian",1500,Indian Rupees(Rs.),Yes,No,No,No,3,4.8,Dark Green,Excellent,1478
51705,Toit,1,Bangalore,"298, Namma Metro Pillar 62, 100 Feet Road, Indiranagar, Bangalore",Indiranagar,"Indiranagar, Bangalore",77.64070876,12.9791658,"Italian, American, Pizza",2000,Indian Rupees(Rs.),No,No,No,No,4,4.8,Dark Green,Excellent,10934
96776,Conï¿½_u,1,Hyderabad,"479/B, Road 21, Jubilee Hills, Hyderabad",Jubilee Hills,"Jubilee Hills, Hyderabad",78.40832144,17.43166813,"Bakery, Desserts",600,Indian Rupees(Rs.),No,No,No,No,2,4.8,Dark Green,Excellent,1023
17100307,Ella's Americana Folk Art Cafe,216,Tampa Bay,"5119 N Nebraska Ave, Tampa, FL 33603",Seminole Heights,"Seminole Heights, Tampa Bay",-82.451041,27.993645,"International, Italian, Southern",40,Dollar($),No,No,No,No,3,4.8,Dark Green,Excellent,1715
18017612,Spice Kraft,1,Kolkata,"54/1/2A, Hazra Road, Ballygunge Phari, Near Hazra Law College, Ballygunge, Kolkata",Ballygunge,"Ballygunge, Kolkata",88.3644527,22.5264613,"Continental, Middle Eastern, Asian",1200,Indian Rupees(Rs.),No,No,No,No,3,4.8,Dark Green,Excellent,1424
17059012,Hollerbach's Willow Tree Cafï¿½ï¿½,216,Orlando,"205 East 1st Street, Sanford, FL 32771",Sanford,"Sanford, Orlando",-81.266871,28.811653,German,40,Dollar($),No,No,No,No,3,4.8,Dark Green,Excellent,1699
6317637,Le Petit Souffle,162,Makati City,"Third Floor, Century City Mall, Kalayaan Avenue, Poblacion, Makati City","Century City Mall, Poblacion, Makati City","Century City Mall, Poblacion, Makati City, Makati City",121.027535,14.565443,"French, Japanese, Desserts",1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,314
6314987,Locavore,162,Pasig City,"Brixton Technology Center, 10 Brixton Street, Kapitolyo, Pasig City",Kapitolyo,"Kapitolyo, Pasig City",121.056532,14.572041,Filipino,1100,Botswana Pula(P),Yes,No,No,No,3,4.8,Dark Green,Excellent,532
17259243,Miyabi 9,216,Des Moines,"512 E Grand Ave, Des Moines, IA 50309",East Village,"East Village, Des Moines",-93.611366,41.590819,"Japanese, Sushi",25,Dollar($),No,No,No,No,2,4.8,Dark Green,Excellent,860
6314302,Sambo Kojin,162,Mandaluyong City,"Third Floor, Mega Atrium, SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City","SM Megamall, Ortigas, Mandaluyong City, Mandaluyong City",121.057508,14.58445,"Japanese, Korean",1500,Botswana Pula(P),Yes,No,No,No,4,4.8,Dark Green,Excellent,229
6403544,Jarryds,189,Cape Town,"90 Regent Road, Sea Point, Cape Town",Sea Point,"Sea Point, Cape Town",18.381997,-33.921453,"Cafe, Burger",230,Rand(R),No,No,No,No,3,4.8,Dark Green,Excellent,319
6103211,Dishoom,215,London,"12 Upper St Martin's Lane, Covent Garden, London WC2H 9FB","Upper St Martin's Lane, Covent Garden","Upper St Martin's Lane, Covent Garden, London",-0.127164,51.512417,"Indian, North Indian, Curry, Cafe",35,Pounds(ï¿½ï¿½),No,No,No,No,2,4.7,Dark Green,Excellent,964
5915547,Karakï¿½_y Gï¿½_llï¿½_oï¿½ï¿½lu,208,ï¿½ï¿½stanbul,"Kemankeï¿½ï¿½ Karamustafa Paï¿½ï¿½a Mahallesi, RÛ±htÛ±m Caddesi, KatlÛ± Otopark AltÛ±, No 4, Beyoï¿½ï¿½lu, ï¿½ï¿½stanbul",Karakï¿½_y,"Karakï¿½_y, ï¿½ï¿½stanbul",28.97763569,41.02290443,"Desserts, Bï¿½_rek",40,Turkish Lira(TL),No,No,No,No,2,4.7,Dark Green,Excellent,1305
18295472,Gymkhana,166,Doha,"Ground Floor, Al Jomrok Boutique Hotel, Souq Waqif, Doha",Souq Waqif,"Souq Waqif, Doha",51.5333165,25.2894111,Indian,250,Qatari Rial(QR),Yes,No,No,No,4,4.7,Dark Green,Excellent,114
7001670,Eight - The Langham Hotel,148,Auckland,"The Langham Hotel, 83 Symonds Street, Grafton, Auckland","The Langham Hotel, Auckland CBD","The Langham Hotel, Auckland CBD, Auckland",174.764078,-36.857474,European,190,NewZealand($),No,No,No,No,4,4.7,Dark Green,Excellent,412
17580511,Original Georgios Authentic Greek Food,216,Pensacola,"13310 Merilla Street, Pensacola, FL 32507",Perdido Key,"Perdido Key, Pensacola",-87.4218962,30.3199824,Greek,10,Dollar($),No,No,No,No,1,4.7,Dark Green,Excellent,816
17316603,Zoeys Pizzeria,216,Cedar Rapids/Iowa City,"690 10th St, Marion, IA 52302",Marion,"Marion, Cedar Rapids/Iowa City",-91.5995,42.0331,"Pizza, Sandwich",25,Dollar($),No,No,No,No,2,4.7,Dark Green,Excellent,433
6103902,Yauatcha,215,London,"15-17 Broadwick Street, Soho, London W1F 0DL","Broadwick Street, Soho","Broadwick Street, Soho, London",-0.135229,51.513739,"Chinese, Dim Sum",90,Pounds(ï¿½ï¿½),Yes,No,No,No,4,4.7,Dark Green,Excellent,1326
6113680,Restaurant Gordon Ramsay,215,London,"68 Royal Hospital Road, Chelsea, London SW3 4HP",Chelsea,Chelsea,-0.162092,51.485509,French,230,Pounds(ï¿½ï¿½),No,No,No,No,4,4.7,Dark Green,Excellent,320
